Product,SKU,Category,Main Image,Gallery 2,Gallery 3,Image Type,Status
"Post-Color Treatment Cream","SGT-HT-009","Hair Color & Treatment","/products/hair-color-treatment/post-color-treatment-cream.svg","/products/hair-color-treatment/post-color-treatment-cream-2.svg","/products/hair-color-treatment/post-color-treatment-cream-3.svg","Illustration","OK"
"Professional Hair Color Cream","SGT-HT-001","Hair Color & Treatment","/products/hair-color-treatment/professional-hair-color-cream.svg","/products/hair-color-treatment/professional-hair-color-cream-2.svg","/products/hair-color-treatment/professional-hair-color-cream-3.svg","Illustration","OK"
"Professional Comb Set","SGT-HE-009","Hair Equipment","/products/hair-equipment/professional-comb-set.svg","/products/hair-equipment/professional-comb-set-2.svg","/products/hair-equipment/professional-comb-set-3.svg","Illustration","OK"
"Professional Hair Brush Set","SGT-HE-008","Hair Equipment","/products/hair-equipment/professional-hair-brush-set.svg","/products/hair-equipment/professional-hair-brush-set-2.svg","/products/hair-equipment/professional-hair-brush-set-3.svg","Illustration","OK"
"Professional Hair Clipper","SGT-HE-004","Hair Equipment","/products/hair-equipment/professional-hair-clipper.svg","/products/hair-equipment/professional-hair-clipper-2.svg","/products/hair-equipment/professional-hair-clipper-3.svg","Illustration","OK"
"Professional Hair Curler","SGT-HE-003","Hair Equipment","/products/hair-equipment/professional-hair-curler.svg","/products/hair-equipment/professional-hair-curler-2.svg","/products/hair-equipment/professional-hair-curler-3.svg","Illustration","OK"
"Professional Hair Dryer","SGT-HE-001","Hair Equipment","/products/hair-equipment/professional-hair-dryer.svg","/products/hair-equipment/professional-hair-dryer-2.svg","/products/hair-equipment/professional-hair-dryer-3.svg","Illustration","OK"
"Professional Hair Scissors","SGT-HE-006","Hair Equipment","/products/hair-equipment/professional-hair-scissors.svg","/products/hair-equipment/professional-hair-scissors-2.svg","/products/hair-equipment/professional-hair-scissors-3.svg","Illustration","OK"
"Professional Hair Straightener","SGT-HE-002","Hair Equipment","/products/hair-equipment/professional-hair-straightener.svg","/products/hair-equipment/professional-hair-straightener-2.svg","/products/hair-equipment/professional-hair-straightener-3.svg","Illustration","OK"
"Professional Hair Trimmer","SGT-HE-005","Hair Equipment","/products/hair-equipment/professional-hair-trimmer.svg","/products/hair-equipment/professional-hair-trimmer-2.svg","/products/hair-equipment/professional-hair-trimmer-3.svg","Illustration","OK"
